"Zeitstempel","Gesamtpunktzahl","Ease of Navigation: How easy was it to complete this flow?","Ease of Navigation: How easy was it to complete this flow? [Punktzahl]","Ease of Navigation: How easy was it to complete this flow? [Feedback]","Time on Task: Approximately how long did it take? (seconds)","Time on Task: Approximately how long did it take? (seconds) [Punktzahl]","Time on Task: Approximately how long did it take? (seconds) [Feedback]","Information Clarity: Were the page names and navigation labels clear and unambiguous?","Information Clarity: Were the page names and navigation labels clear and unambiguous? [Punktzahl]","Information Clarity: Were the page names and navigation labels clear and unambiguous? [Feedback]","Navigation Quality: How would you rate the navigation layout (placement, spacing, readability)?","Navigation Quality: How would you rate the navigation layout (placement, spacing, readability)? [Punktzahl]","Navigation Quality: How would you rate the navigation layout (placement, spacing, readability)? [Feedback]","Findability: If you were looking for “Blueprints” again later, how confident are you that you could find it quickly?","Findability: If you were looking for “Blueprints” again later, how confident are you that you could find it quickly? [Punktzahl]","Findability: If you were looking for “Blueprints” again later, how confident are you that you could find it quickly? [Feedback]","Open Feedback: What, if anything, would you change about the navigation to make this flow faster or clearer?","Open Feedback: What, if anything, would you change about the navigation to make this flow faster or clearer? [Punktzahl]","Open Feedback: What, if anything, would you change about the navigation to make this flow faster or clearer? [Feedback]","Ease of Adding and Managing Items in the Cart: How straightforward was it to add the two items, adjust quantities, and remove items?","Ease of Adding and Managing Items in the Cart: How straightforward was it to add the two items, adjust quantities, and remove items? [Punktzahl]","Ease of Adding and Managing Items in the Cart: How straightforward was it to add the two items, adjust quantities, and remove items? [Feedback]","Time on Task: Approximately how long did it take to complete the entire process? (seconds)","Time on Task: Approximately how long did it take to complete the entire process? (seconds) [Punktzahl]","Time on Task: Approximately how long did it take to complete the entire process? (seconds) [Feedback]","Clarity of the Add-to-Cart Action: How clear and intuitive was the “Add to cart” button (label, icon, placement, feedback)?","Clarity of the Add-to-Cart Action: How clear and intuitive was the “Add to cart” button (label, icon, placement, feedback)? [Punktzahl]","Clarity of the Add-to-Cart Action: How clear and intuitive was the “Add to cart” button (label, icon, placement, feedback)? [Feedback]","Feedback & System Response: Did you receive clear, timely confirmation when items were added, updated, or removed?","Feedback & System Response: Did you receive clear, timely confirmation when items were added, updated, or removed? [Punktzahl]","Feedback & System Response: Did you receive clear, timely confirmation when items were added, updated, or removed? [Feedback]","Cart Visibility and Findability: How easy was it to locate and access your shopping cart from different pages? (1–5)","Cart Visibility and Findability: How easy was it to locate and access your shopping cart from different pages? (1–5) [Punktzahl]","Cart Visibility and Findability: How easy was it to locate and access your shopping cart from different pages? (1–5) [Feedback]","Cart Usability and Clarity: How would you rate the layout and readability of the cart, including item details, totals, and controls?","Cart Usability and Clarity: How would you rate the layout and readability of the cart, including item details, totals, and controls? [Punktzahl]","Cart Usability and Clarity: How would you rate the layout and readability of the cart, including item details, totals, and controls? [Feedback]","Quantity Adjustment Experience: How easy and intuitive was it to increment or decrement item quantities?","Quantity Adjustment Experience: How easy and intuitive was it to increment or decrement item quantities? [Punktzahl]","Quantity Adjustment Experience: How easy and intuitive was it to increment or decrement item quantities? [Feedback]","Error Handling and Recovery: If you removed the wrong item, did it feel easy to undo or recover?","Error Handling and Recovery: If you removed the wrong item, did it feel easy to undo or recover? [Punktzahl]","Error Handling and Recovery: If you removed the wrong item, did it feel easy to undo or recover? [Feedback]","Overall Satisfaction: How satisfied are you with the overall checkout and cart management flow?","Overall Satisfaction: How satisfied are you with the overall checkout and cart management flow? [Punktzahl]","Overall Satisfaction: How satisfied are you with the overall checkout and cart management flow? [Feedback]","Open Feedback: What was the most frustrating part of this flow, and do you have suggestions for improvement?","Open Feedback: What was the most frustrating part of this flow, and do you have suggestions for improvement? [Punktzahl]","Open Feedback: What was the most frustrating part of this flow, and do you have suggestions for improvement? [Feedback]","Ease of Navigation: How easy was it to locate the Sign-In screen and complete the login process?","Ease of Navigation: How easy was it to locate the Sign-In screen and complete the login process? [Punktzahl]","Ease of Navigation: How easy was it to locate the Sign-In screen and complete the login process? [Feedback]","Access to Profile: Were you able to find and access the Profile section without difficulty? If not, what obstacles did you encounter?","Access to Profile: Were you able to find and access the Profile section without difficulty? If not, what obstacles did you encounter? [Punktzahl]","Access to Profile: Were you able to find and access the Profile section without difficulty? If not, what obstacles did you encounter? [Feedback]","Time on Task: Approximately how long did it take? (seconds)","Time on Task: Approximately how long did it take? (seconds) [Punktzahl]","Time on Task: Approximately how long did it take? (seconds) [Feedback]","Confusion or Clarity: Did any part of the process feel confusing or unclear? Please specify.","Confusion or Clarity: Did any part of the process feel confusing or unclear? Please specify. [Punktzahl]","Confusion or Clarity: Did any part of the process feel confusing or unclear? Please specify. [Feedback]","Additional Features: Are there any additional details or features you would like to see in the Profile section?","Additional Features: Are there any additional details or features you would like to see in the Profile section? [Punktzahl]","Additional Features: Are there any additional details or features you would like to see in the Profile section? [Feedback]","Overall Experience: How would you rate your overall experience navigating through these steps?","Overall Experience: How would you rate your overall experience navigating through these steps? [Punktzahl]","Overall Experience: How would you rate your overall experience navigating through these steps? [Feedback]","Flow Improvement: Do you have any suggestions for improving the flow or layout of the login and profile screens?","Flow Improvement: Do you have any suggestions for improving the flow or layout of the login and profile screens? [Punktzahl]","Flow Improvement: Do you have any suggestions for improving the flow or layout of the login and profile screens? [Feedback]","Expected Information: Was there any information you expected to see but did not find?","Expected Information: Was there any information you expected to see but did not find? [Punktzahl]","Expected Information: Was there any information you expected to see but did not find? [Feedback]","Review Process: How intuitive did you find the process of reviewing and confirming your user information?","Review Process: How intuitive did you find the process of reviewing and confirming your user information? [Punktzahl]","Review Process: How intuitive did you find the process of reviewing and confirming your user information? [Feedback]","Additional Feedback: Do you have any other comments or feedback to help us enhance the prototype?","Additional Feedback: Do you have any other comments or feedback to help us enhance the prototype? [Punktzahl]","Additional Feedback: Do you have any other comments or feedback to help us enhance the prototype? [Feedback]","Typography: How would you rate font size and readability?","Typography: How would you rate font size and readability? [Punktzahl]","Typography: How would you rate font size and readability? [Feedback]","Visual design: How would you rate the color scheme and contrast?","Visual design: How would you rate the color scheme and contrast? [Punktzahl]","Visual design: How would you rate the color scheme and contrast? [Feedback]","Consistency: How consistent did the UI feel across pages (buttons, spacing, headings, patterns)?","Consistency: How consistent did the UI feel across pages (buttons, spacing, headings, patterns)? [Punktzahl]","Consistency: How consistent did the UI feel across pages (buttons, spacing, headings, patterns)? [Feedback]","Performance perception: Did the site feel fast and responsive?","Performance perception: Did the site feel fast and responsive? [Punktzahl]","Performance perception: Did the site feel fast and responsive? [Feedback]","Accessibility: How accessible did the interface feel (contrast, focus states, tap targets, readability)?","Accessibility: How accessible did the interface feel (contrast, focus states, tap targets, readability)? [Punktzahl]","Accessibility: How accessible did the interface feel (contrast, focus states, tap targets, readability)? [Feedback]","Overall impression: How would you rate the website overall?","Overall impression: How would you rate the website overall? [Punktzahl]","Overall impression: How would you rate the website overall? [Feedback]","Top improvement: If you could change only one thing to improve the experience, what would it be?","Top improvement: If you could change only one thing to improve the experience, what would it be? [Punktzahl]","Top improvement: If you could change only one thing to improve the experience, what would it be? [Feedback]","Bug report: Did anything not work as expected? If yes, describe what happened and where.","Bug report: Did anything not work as expected? If yes, describe what happened and where. [Punktzahl]","Bug report: Did anything not work as expected? If yes, describe what happened and where. [Feedback]"
"2026/06/15 11:19:41 AM OESZ","0.00 / 0","5","-- / 0","","3","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","","-- / 0","","5","-- / 0","","","-- / 0","","3","-- / 0","","all clear","-- / 0","","","-- / 0","","5","-- / 0","","","-- / 0","","","-- / 0","","5","-- / 0","","","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","","-- / 0","","","-- / 0",""
"2026/06/15 11:20:29 AM OESZ","0.00 / 0","4","-- / 0","","15","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","","-- / 0","","4","-- / 0","","90","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","4","-- / 0","","1","-- / 0","","4","-- / 0","","remove all copies of one item should work with one click, not only reduce qty to 0","-- / 0","","4","-- / 0","","","-- / 0","","30","-- / 0","","no","-- / 0","","","-- / 0","","5","-- / 0","","","-- / 0","","","-- / 0","","5","-- / 0","","","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","","-- / 0","","","-- / 0",""
"2026/06/15 11:20:43 AM OESZ","0.00 / 0","4","-- / 0","","25","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","","-- / 0","","3","-- / 0","","60","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","3","-- / 0","","4","-- / 0","","Have a distinct button to remove an item from the shopping cart","-- / 0","","5","-- / 0","","","-- / 0","","20","-- / 0","","No, everything was clear","-- / 0","","Maybe a last login date","-- / 0","","5","-- / 0","","","-- / 0","","","-- / 0","","4","-- / 0","","","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","4","-- / 0","","Maybe a more brighter color theme","-- / 0","","","-- / 0",""
"2026/06/15 11:20:43 AM OESZ","0.00 / 0","5","-- / 0","","10","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","","-- / 0","","5","-- / 0","","60","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","the toolholder was in blueprints and ready-to-buy, but only the one in ready-to-buy was clickable","-- / 0","","5","-- / 0","","","-- / 0","","15","-- / 0","","no","-- / 0","","see my previous orders","-- / 0","","5","-- / 0","","","-- / 0","","","-- / 0","","5","-- / 0","","possibly show the password promt at the same time as the email one","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","the profile page should also be in dark mode","-- / 0","","","-- / 0",""
"2026/06/15 11:21:50 AM OESZ","0.00 / 0","3","-- / 0","","120","-- / 0","","4","-- / 0","","5","-- / 0","","2","-- / 0","","passt","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","2","-- / 0","","3","-- / 0","","5","-- / 0","","5","-- / 0","","3","-- / 0","","","-- / 0","","1","-- / 0","","Hat man nicht realsiert das es ein Log in gibt","-- / 0","","10","-- / 0","","ist gleich wie überall","-- / 0","","","-- / 0","","3","-- / 0","","","-- / 0","","","-- / 0","","3","-- / 0","","","-- / 0","","3","-- / 0","","2","-- / 0","","5","-- / 0","","3","-- / 0","","3","-- / 0","","5","-- / 0","","","-- / 0","","","-- / 0",""
"2026/06/15 11:22:13 AM OESZ","0.00 / 0","5","-- / 0","","15","-- / 0","","4","-- / 0","","4","-- / 0","","5","-- / 0","","","-- / 0","","3","-- / 0","","20","-- / 0","","4","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","","-- / 0","","5","-- / 0","","","-- / 0","","10","-- / 0","","No","-- / 0","","","-- / 0","","5","-- / 0","","","-- / 0","","Maybe information about former orders.","-- / 0","","5","-- / 0","","","-- / 0","","5","-- / 0","","3","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","","-- / 0","","","-- / 0",""
"2026/06/15 11:25:03 AM OESZ","0.00 / 0","4","-- / 0","","30","-- / 0","","4","-- / 0","","4","-- / 0","","5","-- / 0","","","-- / 0","","5","-- / 0","","30","-- / 0","","5","-- / 0","","4","-- / 0","","2","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","4","-- / 0","","","-- / 0","","5","-- / 0","","","-- / 0","","10","-- / 0","","Everything was clear.","-- / 0","","","-- / 0","","5","-- / 0","","","-- / 0","","","-- / 0","","5","-- / 0","","","-- / 0","","5","-- / 0","","5","-- / 0","","2","-- / 0","","2","-- / 0","","4","-- / 0","","4","-- / 0","","","-- / 0","","","-- / 0",""
"2026/06/15 11:28:01 AM OESZ","0.00 / 0","4","-- / 0","","7sec","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","","-- / 0","","3","-- / 0","","1min30sec","-- / 0","","5","-- / 0","","4","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","2","-- / 0","","4","-- / 0","","Wenn man ein Produkt zum Shopping-Cart hinzugefügt hat, wäre es cool wenn man wieder auf die ""Blueprints""-Seite zurückkommt, falls man noch mehrere Produkte aus dem Blueprints-Katalog hinzufügen möchte.","-- / 0","","5","-- / 0","","yes ","-- / 0","","1.347sec","-- / 0","","no","-- / 0","","nah","-- / 0","","5","-- / 0","","nope","-- / 0","","no","-- / 0","","5","-- / 0","","no","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","3","-- / 0","","3","-- / 0","","4","-- / 0","","","-- / 0","","when you access the ""filament"" or ""my profile"" pages, there is no mark around the menu-topic, so you still think you are at the ""Blueprints"" page","-- / 0",""
"2026/06/15 11:28:50 AM OESZ","0.00 / 0","4","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","3","-- / 0","","","-- / 0","","4","-- / 0","","120","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","4","-- / 0","","Funktioniert relativ einfach und übersichtlich, design sehr ähnlich zu gängigen Shops","-- / 0","","5","-- / 0","","Easy","-- / 0","","30","-- / 0","","No","-- / 0","","Normally you have to add the Age, for verificatin that you're over 18","-- / 0","","4","-- / 0","","","-- / 0","","Age","-- / 0","","5","-- / 0","","","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","4","-- / 0","","Navigation Menu Dropdown feels a little bit too small, increase the size","-- / 0","","","-- / 0",""
"2026/06/15 11:30:49 AM OESZ","0.00 / 0","5","-- / 0","","15-20s","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","Man könnte die wichtigsten Punkte dauerhaft eingeblendet lassen ohne das Menü zu nutzen","-- / 0","","4","-- / 0","","2 min (Mir war nicht klar das man scrollen kann)","-- / 0","","4","-- / 0","","3","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","","-- / 0","","5","-- / 0","","It was easy to find","-- / 0","","15s","-- / 0","","no","-- / 0","","no","-- / 0","","5","-- / 0","","no","-- / 0","","no","-- / 0","","5","-- / 0","","no","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","","-- / 0","","","-- / 0",""
